                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0871,                 2.8362,                 2.2881,                0.54435,                0.40088,                0.41484,                0.26273,                 1.7453,                  2.152,                 2.0556,             0.00055254,             0.00055254,             0.00055254
                      2,                 1.3904,                 1.8395,                 1.6978,                0.57592,                0.52067,                0.54093,                0.34369,                 1.4958,                 1.8127,                 1.8717,              0.0010863,              0.0010863,              0.0010863
                      3,                 1.3212,                 1.6777,                 1.6381,                0.65794,                0.52094,                0.57925,                0.35448,                  1.492,                 1.6478,                 1.8094,               0.001598,               0.001598,               0.001598
                      4,                 1.2758,                 1.5941,                 1.5916,                 0.6146,                 0.5405,                0.59774,                0.34705,                 1.4669,                 1.6054,                 1.8136,               0.001568,               0.001568,               0.001568
                      5,                 1.2386,                 1.4785,                 1.5628,                0.74217,                0.63221,                0.70202,                 0.4294,                 1.3921,                 1.4666,                 1.7035,               0.001568,               0.001568,               0.001568
                      6,                  1.182,                  1.397,                 1.5151,                0.81118,                0.62378,                0.72535,                0.46025,                 1.3762,                 1.2725,                  1.684,               0.001535,               0.001535,               0.001535
                      7,                 1.1766,                 1.3895,                 1.5107,                0.76894,                0.65522,                0.74453,                0.47302,                 1.3119,                  1.285,                 1.6374,               0.001502,               0.001502,               0.001502
                      8,                 1.1485,                  1.322,                 1.4674,                0.81083,                0.66925,                0.79139,                0.51556,                 1.2343,                 1.1645,                 1.5614,               0.001469,               0.001469,               0.001469
                      9,                 1.1239,                 1.2691,                 1.4596,                0.79525,                0.68366,                0.77307,                0.48946,                 1.2553,                 1.2284,                 1.6055,               0.001436,               0.001436,               0.001436
                     10,                 1.1308,                 1.2719,                 1.4611,                0.75543,                0.67262,                0.74248,                0.48202,                 1.3207,                 1.1843,                 1.6227,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.0737,                 1.2112,                 1.4236,                0.88214,                0.67607,                0.81262,                0.53131,                 1.2266,                 1.0269,                 1.5568,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.0779,                 1.1866,                 1.4212,                0.82695,                0.71304,                0.80953,                0.53641,                 1.2349,                 1.0408,                 1.5308,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.0767,                 1.1804,                  1.417,                 0.8663,                0.70699,                0.82182,                0.55024,                 1.1922,                0.99307,                 1.5133,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.0756,                 1.1432,                 1.4119,                0.85685,                0.69144,                0.79859,                0.52656,                 1.2116,                 1.0949,                 1.5207,              0.0012709,              0.0012709,              0.0012709
                     15,                  1.065,                 1.1222,                 1.3941,                0.83318,                0.72834,                0.83539,                0.54539,                 1.1785,                0.98569,                 1.4816,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.0301,                 1.0822,                 1.3807,                0.85236,                0.71218,                0.82828,                0.56501,                 1.1693,                0.97018,                 1.4931,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.0349,                 1.0749,                 1.3802,                0.87338,                0.75881,                0.84933,                0.56666,                 1.1607,                0.94482,                  1.479,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.0182,                 1.0675,                  1.366,                0.85396,                0.72116,                0.82152,                0.53543,                 1.2068,                0.97689,                 1.5071,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.0121,                 1.0353,                 1.3552,                 0.8475,                0.71138,                0.82903,                0.56147,                 1.1753,                0.94849,                 1.5056,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.0016,                 1.0319,                 1.3467,                0.89401,                 0.7516,                0.86112,                0.58065,                 1.1536,                0.88272,                 1.4572,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.0115,                 1.0273,                 1.3544,                0.84001,                0.75156,                0.84673,                0.57184,                 1.1545,                0.90824,                  1.477,              0.0010399,              0.0010399,              0.0010399
                     22,                0.99905,                 1.0132,                 1.3422,                0.89144,                  0.773,                0.86516,                0.59211,                 1.1287,                0.86126,                 1.4365,              0.0010069,              0.0010069,              0.0010069
                     23,                0.97493,                0.97637,                 1.3345,                0.86605,                0.77185,                0.86602,                0.59116,                 1.1168,                0.87432,                 1.4372,             0.00097386,             0.00097386,             0.00097386
                     24,                0.95565,                0.95045,                 1.3166,                 0.8759,                0.78547,                0.87379,                0.59951,                 1.1363,                  0.843,                 1.4514,             0.00094085,             0.00094085,             0.00094085
                     25,                 0.9418,                0.92868,                 1.3053,                0.86871,                0.78291,                 0.8783,                 0.5974,                 1.1167,                0.85041,                 1.4383,             0.00090785,             0.00090785,             0.00090785
                     26,                0.97528,                0.93235,                 1.3231,                0.88464,                0.75081,                0.86212,                0.58377,                 1.1462,                0.87596,                 1.4611,             0.00087484,             0.00087484,             0.00087484
                     27,                0.96836,                0.94045,                 1.3197,                 0.9108,                0.76619,                0.87197,                0.59671,                 1.1356,                0.83708,                 1.4387,             0.00084184,             0.00084184,             0.00084184
                     28,                0.94296,                0.89647,                 1.2985,                0.90778,                0.78844,                0.88812,                0.61018,                 1.1188,                0.80391,                 1.4366,             0.00080883,             0.00080883,             0.00080883
                     29,                0.94882,                0.92016,                 1.2992,                0.89632,                0.79509,                0.88013,                0.60345,                 1.1166,                0.81055,                 1.4167,             0.00077582,             0.00077582,             0.00077582
                     30,                0.93338,                0.88276,                 1.2885,                0.91336,                0.76793,                0.88357,                0.60395,                 1.1191,                0.79017,                 1.4285,             0.00074282,             0.00074282,             0.00074282
                     31,                0.93442,                0.89595,                 1.2944,                0.88247,                0.79607,                0.87758,                0.60852,                 1.0975,                0.80513,                 1.4155,             0.00070981,             0.00070981,             0.00070981
                     32,                0.93012,                0.86556,                 1.2896,                0.89938,                0.80627,                 0.8902,                0.61115,                 1.1056,                 0.7589,                 1.4077,              0.0006768,              0.0006768,              0.0006768
                     33,                0.91787,                 0.8622,                 1.2731,                0.90388,                0.82104,                0.90019,                0.62292,                 1.0799,                0.77233,                 1.3861,              0.0006438,              0.0006438,              0.0006438
                     34,                0.91651,                0.85557,                 1.2849,                0.89513,                0.80593,                0.88623,                0.61079,                 1.1113,                0.78073,                 1.4183,             0.00061079,             0.00061079,             0.00061079
                     35,                0.88198,                0.80377,                 1.2486,                0.90712,                0.81089,                0.89561,                0.62539,                 1.0859,                0.76469,                 1.4012,             0.00057778,             0.00057778,             0.00057778
                     36,                0.88959,                0.82205,                 1.2641,                0.92795,                0.79301,                 0.8963,                0.62593,                 1.0793,                0.74236,                 1.3922,             0.00054478,             0.00054478,             0.00054478
                     37,                 0.8861,                0.81179,                  1.257,                0.92788,                 0.8139,                0.90435,                0.62266,                 1.0888,                0.74038,                 1.3941,             0.00051177,             0.00051177,             0.00051177
                     38,                0.86908,                0.79994,                 1.2392,                0.91529,                0.82328,                0.90187,                0.62726,                   1.08,                0.72554,                 1.3901,             0.00047876,             0.00047876,             0.00047876
                     39,                0.88384,                0.81113,                 1.2448,                0.92219,                0.81031,                0.89824,                0.62223,                 1.0855,                0.73679,                 1.4033,             0.00044576,             0.00044576,             0.00044576
                     40,                0.87765,                0.78393,                 1.2475,                0.91056,                0.81977,                0.89801,                 0.6323,                 1.0642,                 0.7177,                 1.3792,             0.00041275,             0.00041275,             0.00041275
                     41,                0.84213,                0.63969,                 1.2351,                0.90196,                0.83123,                0.90102,                0.63641,                 1.0572,                0.72172,                 1.3733,             0.00037974,             0.00037974,             0.00037974
                     42,                 0.8196,                0.59882,                 1.2145,                0.91741,                0.82078,                0.90774,                0.63927,                 1.0551,                0.70756,                 1.3751,             0.00034674,             0.00034674,             0.00034674
                     43,                0.80839,                0.58673,                 1.2052,                0.93405,                0.81973,                0.90971,                0.64773,                 1.0355,                0.70592,                 1.3644,             0.00031373,             0.00031373,             0.00031373
                     44,                0.79695,                0.57177,                 1.1953,                 0.9056,                0.83362,                0.90844,                0.64867,                 1.0251,                0.69947,                 1.3504,             0.00028072,             0.00028072,             0.00028072
                     45,                0.79191,                0.55695,                 1.1909,                0.92125,                0.83215,                0.90753,                0.64967,                 1.0337,                0.68803,                  1.359,             0.00024772,             0.00024772,             0.00024772
                     46,                0.78222,                0.55296,                 1.1886,                0.92327,                0.83834,                0.91057,                0.64728,                 1.0465,                0.69154,                 1.3646,             0.00021471,             0.00021471,             0.00021471
                     47,                0.77504,                0.54185,                 1.1748,                0.92033,                0.82265,                0.91124,                0.64338,                 1.0443,                0.69392,                 1.3669,              0.0001817,              0.0001817,              0.0001817
                     48,                0.75947,                0.53485,                 1.1728,                 0.9299,                0.84412,                0.91391,                0.64847,                 1.0374,                0.67844,                 1.3702,              0.0001487,              0.0001487,              0.0001487
                     49,                0.75006,                0.52571,                  1.159,                0.92758,                 0.8447,                0.91582,                0.65069,                 1.0351,                0.68311,                 1.3676,             0.00011569,             0.00011569,             0.00011569
                     50,                0.74414,                0.51647,                 1.1565,                0.92107,                0.84868,                0.91417,                0.65304,                 1.0352,                0.66922,                 1.3641,             8.2683e-05,             8.2683e-05,             8.2683e-05
